cod,desc,cant,estante,nivel,costo_unitario
2317ROJO,Portatarjeta rojo, -   ,,,
2317ROSA,Portatarjeta rosa, -   ,,,
2317V,Portatarjeta verde, -   ,,,
2318AM,Portaretrato amarillo, -   ,,,
2318AZ,Portaretrato azul, -   ,,,
2318AZM,Portaretrato azul marino, -   ,,,
2318F,Portaretrato fiusha, -   ,,,
2318N,Portaretrato naranja, -   ,,,
2318ROJO,Portaretrato rojo, -   ,,,
2318ROSA,Portaretrato rosa, -   ,,,
2318V,Portaretrato verde, -   ,,,
2319AM,Caja lapicera amarillo, -   ,,,
2319AZ,Caja lapicera azul, -   ,,,
2319AZM,Caja lapicera azul marino, -   ,,,
2319F,Caja lapicera fiusha, -   ,,,
2319N,Caja lapicera naranja, -   ,,,
2319O,Caja lapicera orquidea, -   ,,,
2319ROJO,Caja lapicera rojo, -   ,,,
2319ROSA,Caja lapicera rosa, -   ,,,
2319V,Caja lapicera verde, -   ,,,
2320AM,Clinera amarilla, -   ,,,
2320AZ,Clinera azul, -   ,,,
2320AZM,Clinera azul marino, -   ,,,
2320F,Clinera  fiusha, -   ,,,
2320N,Clinera naranja, -   ,,,
2320O,Clinera orquidea, -   ,,,
2320ROJO,Clinera rojo, -   ,,,
2320ROSA,Clinera rosa,1,,,
2320V,Clinera verde,1,,,
2323AM,Estuche p/reloj amarillo, -   ,,,
2323AZ,Estuche p/reloj azul, -   ,,,
2323AZM,Estuche p/reloj azul marino, -   ,,,
2323F,Estuche p/reloj fiusha, -   ,,,
2323N,Estuche p/reloj naranja, -   ,,,
2323ROJO,Estuche p/reloj rojo, -   ,,,
2323ROSA,Estuche p/reloj rosa, -   ,,,
2323V,Estuche p/reloj verde, -   ,,,
2324AM,Estuchep/pluma amarillo, -   ,,,
2324AZ,Estuchep/pluma azul, -   ,,,
2324AZM,Estuchep/pluma azul marino, -   ,,,
2324F,Estuchep/pluma fiusha, -   ,,,
2324N,Estuchep/pluma naranja, -   ,,,
2324ROJO,Estuchep/pluma rojo, -   ,,,
2324ROSA,Estuchep/pluma rosa, -   ,,,
2324V,Estuchep/pluma verde, -   ,,,
2326AM,Joyero rectangular amarillo, -   ,,,
2326AZ,Joyero rectangular azul, -   ,,,
2326AZM,Joyero rectangular azul marino, -   ,,,
2326F,Joyero rectangular fiusha, -   ,,,
2326N,Joyero rectangular naranja, -   ,,,
2326ROJO,Joyero rectangular rojo, -   ,,,
2326ROSA,Joyero rectangular rosa, -   ,,,
2326V,Joyero rectangular verde, -   ,,,
2327AM,Octagono amarillo, -   ,,,
2327AZ,Octagono azul, -   ,,,
2327AZM,Octagono azul marino, -   ,,,
2327F,Octagono fiusha, -   ,,,
2327N,Octagono naranja, -   ,,,
2327ROJO,Octagono rojo, -   ,,,
2327ROSA,Octagono rosa, -   ,,,
2327V,Octagono verde, -   ,,,
2328AM,Porta clips amarillo, -   ,,,
2328AZ,Porta clips azul, -   ,,,
2328AZM,Porta clips azul marino, -   ,,,
2328F,Porta clips fiusha, -   ,,,
2328N,Porta clips naranja, -   ,,,
2328ROJO,Porta clips rojo, -   ,,,
2328ROSA,Porta clips rosa, -   ,,,
2328V,Porta clips verde, -   ,,,
2401,Pc archivo 80 super ,4,,,
2402,Pc archivo 70 oficio largo , -   ,,,
2403,Pc archivo 50 oficio ,24,,,
2404,Pc archivo 40 carta ,8,,,
2405,Pc archivo 30 mixto ,10,,,
2406,Pc archivo 20 1/2 carta largo ,18,,,
2407,Pc archivo 10 1/2 carta ,18,,,
2409,Pc archivo 60 carta larga , -   ,,,
2410,Pc archivo 55 archivo carpeta ,26,,,
2413,Pc archivo 40 blanca alta , -   ,,,
2501,Dc archivo 70 oficio larga económica ,9,,,
2502,Dc archivo 60 carta larga económica ,21,,,
2503,Dc archivo 50 oficio económica ,15,,,
2504,Dc archivo 40 carta económica ,12,,,
2505,Dc archivo 30 archivo mixta económica ,5,,,
2506,Dc archivo 55 archivo carpeta , -   ,,,
2602,Eco 40 archivo carta ,10,,,
2603,Eco 50 archivo oficio,25,,,
2804,Archidiario ,3,,,
2900,Sobre jiffylite # 0,227,,,
2901,Sobre jiffylite # 1,45,,,
2902,Sobre jiffylite # 2,35,,,
2903,Sobre jiffylite # 4,58,,,
2904,Sobre jiffylite # 5,7,,,
2905,Sobre jiffylite # 7,26,,,
2906,Sobre jiffylite # 000, -   ,,,
2907,Sobre manila t/carta,12,,,
2908,Sobre manila t/oficio,6,,,
3103,Archigaveta oficio largo ,20,,,
3203,Archiva oficio corr. Bond ,21,,,
3204,Archiva carta corr. Bond  ,28,,,
3301,GUARDA PLANO MED.45.5X37X91,2,,,
3401,Maletin micro blanco,4,,,
3402,Maletin blanco corrugado ,14,,,
3404,Sobre ecológico carta ,10,,,
3405,Sobre ecológico t/oficio ,10,,,
3501,Reviarchivo grande ,2,,,
3502,Reviarchivo chico ,10,,,
3503T,Revistero chico turquesa,11,,,
3503V,Revistero chico vintage ,9,,,
3206,Archiva gob 1 , -   ,,,
3601,Archiva gob 1 economica , -   ,,,
3602,Archiva gob 2 , -   ,,,
3603,ARCHIVA GOB 3 MED 28X19X40,3,,,
3701,Tubo portaplano 1.09cm, -   ,,,
3702,Tubo portaplano 91.5cm,4,,,
3703,Tubo portaplano 78cm,4,,,
3704,Tubo portaplano 66cm, -   ,,,
3705,Tubo portaplano 33.5cm,3,,,
3801,Tarjetero grande , -   ,,,
3802,Tarjetero mediano ,19,,,
3803,Tarjetero chico ,22,,,
