cod,desc,cant,estante,nivel,costo_unitario
1305,CAJA SASTRE MINI MED. 30X22.5X7,2,,,
1306,CAJA SASTRE CHICA MED.35X26X10,1,,,
1307,CAJA SASTRE MEDIANA MED,3,,,
1308,CAJA SASTRE GRANDE MED.81X50X13,,,,
1309C,CAJA SASTRE CHICA DECORADA CUADROS,2,,,
1309FL,CAJA SASTRE CHICA DECORADA FLORES LILA,2,,,
1309R,CAJA SASTRE CHICA DECORADA RAYAS,,,,
1310C,CAJA SASTRE MEDIANA DECORADA CUADROS,1,,,
1310FL,CAJA SASTRE MEDIANA DECORADA FLORES LILA,3,,,
1310R,CAJA SASTRE MEDIANA DECORADA RAYAS,1,,,
1311C,CAJA SASTRE GRANDE DECORADO CUADROS,,,,
1311FL,CAJA SASTRE GRANDE DECORADO FLORES LILA,1,,,
1311R,CAJA SASTRE GRANDE DECORADO RAYAS,2,,,
1502,ARCHIVO PLASTICO OFICIO  MED.50X38X26,4,,,
1503,ARCHIVO PLASTICO ECONOMICO,4,,,
1801,LH-00 NESECER,7,,,
1802C,PC ARCHIVO 80 DECORADA CUADROS,,,,
1802FL,PC ARCHIVO 80 DECORADA FLORES LILA,,,,
1802R,PC ARCHIVO 80 DECORADA RAYAS,1,,,
1803C,PC ARCHIVO 50 DECORADA CUADROS,1,,,
1803FL,PC ARCHIVO 50 DECORADA FLORES LILA,,,,
1803R,PC ARCHIVO 50 DECORADA RAYAS,4,,,
1804C,PC ARCHIVO 30 DECORADA CUADROS,2,,,
1804FL,PC ARCHIVO 30 DECORADA FLORES LILA,,,,
1804R,PC ARCHIVO 30 DECORADA RAYAS,1,,,
1805C,LH 00 NECESER IMPRESO CUADROS,1,,,
1805FL,LH 00 NECESER IMPRESO FLORES LILA,1,,,
1805R,LH 00 NECESER IMPRESO RAYAS,,,,
1806,PC ARCHIVO 55 DECORADA MADERA,4,,,
1807,PC ARCHIVO DECORADA HOJAS,5,,,
1901T,ECOBURO COMBO 3 CAJONES TURQUESA,2,,,
1901V,ECOBURO COMBO 3 CAJONES VINTAGE,,,,
1902T,ECOBURO COMBO 4 CAJONES TURQUESA,2,,,
1902V,ECOBURO COMBO 4 CAJONES VINTAGE,2,,,
1905C,ECOBURO COMBO GDE. 4 CAJ. CUADROS,,,,
1905FL,ECOBURO COMBO GDE. 4 CAJ. FLORES LILA,,,,
1905FM,ECOBURO COMBO GDE. 4 CAJ. FLORES MORADAS,,,,
