cod,desc,cant,estante,nivel,costo_unitario
4805,CZ 36 TREINTA Y SEIS PARES53X48X55,40,,,
4806,CZ 48 CUARENTA Y OCHO PARES 54X54X65,13,,,
4807,CAJA BOTA GRANDE 43X34X11,10,,,
4808,CAJA BOTA CHICA 31X20.5X11,12,,,
4810,CAJA ZAPATO GDE MICRO 32X21X11,10,,,
4811,CAJA ZAPATO CHICA MICRO 28X18X10,10,,,
4900,CR 98 CAJA REG 84X50X83,5,,,
4901,CR 90 CAJA REG 90X60X50,7,,,
4902,CR 85 CAJA REG 70X40X40,3,,,
4903,CR 80CAJA REG 50X40X50,40,,,
4904,CR 70 CAJA REG  55X45X35,27,,,
4905,CR 60 CAJA REG 62X37X25,,,,
4907,CR 75DC CAJA REG 80X50X50,0,,,
4908,CR 45 CAJA REG 60X30X25,22,,,
4909,CR 40 CAJA REG  40X30X40,26,,,
4910,CR 30 CAJA REG 45X30X30,54,,,
4911,CR 30N CAJA REG NAVIDE�A 9 kg/cm2,0,,,
4912,CR 20 CAJA REG 40X30X30,32,,,
4913,CR 15 CAJA REG 30X20X20,37,,,
4914,CR 10 CAJA REG 40X30X20,,,,
4915,CR 03 CAJA REG 30X15X20,47,,,
4916,CR 01 CAJA REG 19X15X15,55,,,
4917,CR 02 CAJA REG 20X16X13,56,,,
4918,CR 75 CAJA REG 80X50X50,17,,,
4919,CR 05 CAJA REG 14X14X28,32,,,
4920,CR 08 CAJA REG 25X16X16,35,,,
4921,CR 04 CAJA REG 32X22X13,56,,,
4922,CR CUBO CAJA REG  60X60X60,,,,
4923,CR 50 DC CAJA REG 50X40X25,14,,,
4924,CR 09 CAJA REG 38X26.5X12,27,,,
4925,CR 25 CAJA REG 30X30X30,46,,,
4926,CR 35 CAJA REG 45X45X45,19,,,
4927,GOBIERNO CHICO 29X24X30,20,,,
4928,GOBIERNO GRANDE 36.5X26X29,23,,,
4929,GOBIERNO SUPER 46.5X36.5 X40,28,,,
4930,SERFIN 60X30X30,14,,,
4931,PASTELERA KRAFT ECO. 30X30X14,10,,,
4932,CR 63 CAJA REG 63X36X26,22,,,
4934,CR 85 DC  70X40X40,10,,,
4935,GOBIERNO CHICO NAVIDE�A,0,,,
5003,CR 57 CAJA REG 100X60X50,,,,
5020,CAJA PARA CORONA,,,,
5021,CAJA PARA �RBOL DE NAVIDAD,,,,
5023,CAJA P/CORONA,,,,
5101,ER 00   CAJA REGALO 14  PTS.,0,,,
5102,ER 01   CAJA REGALO 14  PTS.,0,,,
5103,ER 02   CAJA REGALO 14  PTS.,0,,,
5104,ER 03   CAJA REGALO 14  PTS.,0,,,
5105,ER 04   CAJA REGALO 14  PTS.,0,,,
5106,ER 04E CAJA REGALO 14 PTS.,0,,,
5108,ER 05 CAJA REGALO 14 PTS.,0,,,
5109,ER 05V CAJA REGALO C/ VENTANA 14 PTS.,65,,,
5110,ER 06   CAJA REGALO 14 PTS.,0,,,
5111,ER 06 HAPPY BIRTHDAY,2,,,
5111B,ER 06 BESOS,0,,,
5111L,ER 06 LOVE,0,,,
5112,ER 6B   CAJA REGALO BEBE  14 PTS.,,,,
5113,ER 6V   CAJA REGALO C/VENTANA 14 PTS.,0,,,
5114,ER 06C   CAJA REGALO COLOR 14 PTS.,0,,,
5115,ER 07   CAJA REGALO 14 PTS.,0,,,
5116,ER 08   CAJA REGALO 14 PTS.,0,,,
5117,ER 09   CAJA REGALO 14 PTS.,0,,,
5118,ER 09C CAJA REGALO COLOR,68,,,
5119,ER 10   CAJA REGALO 14 PTS.,0,,,
5120,ER 11   CAJA REGALO 14 PTS.,0,,,
5121,ER 11C CAJA REGALO COLOR,0,,,
5122,ER 11E  CAJA REGALO 14 PTS.,29,,,
5123,ER 12    CAJA REGALO 14 PTS.,0,,,
5124,ER 13    CAJA REGALO 14 PTS.,0,,,
5125,ER 13C CAJA REGALO COLOR,0,,,
5126,ER 14      CAJA REGALO,0,,,
5127,ER 14V    CAJA REGALO C/VENTANA,0,,,
5128,ER 15      CAJA REGALO 14 PTS.,0,,,
5129,ER 15C   CAJA REGALO COLOR 14 PTS.,0,,,
5130,ER 16      CAJA REGALO 14 PTS.,0,,,
5131,ER 17      CAJA REGALO 14 PTS.,0,,,
5132,ER 18      CAJA REGALO 14 PTS.,0,,,
5133,CAJA JOYERIA ESPECIAL,0,,,
5134,CAJA JOYERIA ESPECIAL COLOR,77,,,
5135,CAJA BOLITOS,490,,,
5136,ER 19     CAJA REGALO 14 PTS,0,,,
5137,CAJA PARA RELOJ  14 PTS.,18,,,
5138,CAJA JOYERIA,188,,,
5139,CAJA MU�ECA GRANDE COLOR,0,,,
5140,CAJA MU�ECA CHICA COLOR,0,,,
5141,CAJA MU�ECA MED. COLOR,0,,,
5142,CAJA CAMIONCITO,,,,
5143,CAJA MU�ECA MINI ESP COLOR,0,,,
5144,ALCANCIA TORTUGA Y PUERQUITO,0,,,
5145,CAJA PING�INO,,,,
5146,VICERA BLANCA,,,,
5147,CAJA PALOMITA MINI KRAFT,0,,,
5148,CAJA P/TARJETA PRESENTACI�N BLANCA,51,,,
5149,CUBO MINI COLOR,6,,,
5150,LONCHERA RAYAS Y ZEBRA,41,,,
5150K,LONCHERA COLOR KRAFT,0,,,
5150N,LONCHERA COLOR NEGRO,0,,,
5151,CAJA PARA CD CAPLE,48,,,
5152,PORTACAMISA,,,,
5153,CAJA P/PERFUME,72,,,
5154,CAJA PALOMITAS CHICA BLANCA,1,,,
5155,ER 13B   CAJA REGALO BEBE,,,,
5156,CASITA CAPLE BLANCA,,,,
5157,CAJA CIRCO CAPLE,,,,
5158,CAJA PARA BAUTIZO BCA.,0,,,
5159,CAJA PARA CORBATA,19,,,
5160,BOLO PAYASO,0,,,
5161,CUBO MINI CAPLE KRAFT,12,,,
5162,HEXAGONO CAPLE KRAFT,0,,,
5163,FUNDA CD CAPLE KRAFT,39,,,
5164,ALMOHADA MINI CAPLE KRAFT,39,,,
5165,CAJA CAPLE KRAFT TAPA INTEGRADA,21,,,
5166,DULCERA CHICA CAPLE KRAFT,0,,,
5167,MU�ECA MICRO CAPLE KRAFT,60,,,
5168,CAJA SORPRESA CAPLE KRAFT,205,,,
5169,ALMOHADA MEDIANA CAPLE KRAFT,63,,,
5170,ALMOHADA COLOR MEDIANA,,,,
5171,ALMOHADA COLOR GRANDE,,,,
5172,ALMOHADA COLOR JUMBO,0,,,
5173,CUBO SULFATADO COLOR,0,,,
5174,CUBO SULFATADO COLOR,0,,,
5175,CAJA MU�ECA MINI 14 FEB,,,,
5176,CAJA MU�ECA CH 14 FEB,0,,,
5177,CAJA MU�ECA MED 14 FEB,0,,,
5178,CAJA MU�ECA GDE 14 FEB,0,,,
5179,DULCERA MINI CORAZONES,0,,,
5180,BOLSA EUROPA 14 FEB CHICA,0,,,
5181,BOLSA EUROPA 14 FEB MEDIANA,0,,,
5182,BOLSA EUROPA 14 FEB GRANDE,0,,,
5182PTS,BOLSA EUROPA GRANDE PUNTOS EN MEDIDA,0,,,
5183,PELUCHERA CAPLE 14 FEB CHICA,0,,,
5184,PELUCHERA CAPLE 14 FEB MEDIANA,0,,,
5185,PELUCHERA CAPLE 14 FEB GRANDE,0,,,
5186,CAMISERA ELEGANTE 14 FEB,,,,
5187,PORTARETRATO 14 FEB,0,,,
5188,LONCHERA MINI LOVE,0,,,
5189,CUBO T.Q.M. XOXO,0,,,
5190,BOLSA CORAZON CON LLAVE,0,,,
5191,CAJA PARA PALOMITAS GRANDE 14 FEB,0,,,
5192,CAJA PARA PALOMITAS MEDIANA 14 FEB,0,,,
5193,CAJA PARA PALOMITAS CHICA 14 FEB,0,,,
5194,PORTARETRATO CAPLE NI�OS,,,,
5195,CUBO CAPLE NI�OS,0,,,
5196,CAJA TRENECITO CAPLE,,,,
5197,CUBO TURQUESA,0,,,
5198,CUBO CHOCOLATE,0,,,
5199,CAJA CHOCOLATE CORAZONES,0,,,
5200,CAJA LUNARES SORPRESA,1,,,
5201,BOLSA CHICA SULFATADA,118,,,
5202,BOLSA MEDIANA SULFATADA,17,,,
5203,BOLSA GRANDE SULFATADA,62,,,
5204,BOLSA SULFATADA MINI,,,,
5209,HEXAGONO SULFATADO,0,,,
5210,MU�ECA SULFATADA,0,,,
5221,CUBO CONTAENCOLADO COLOR 20X20,0,,,
5258,SOBRE YOURS TAMA�O GDE,0,,,
5266,LONCHERA BE MINE ROSA,0,,,
5273,CAJA MULTIUSOS TRUE LOVE,0,,,
5275,CUBO CONTENEDOR COLORES,64,,,
5276,VIZCAINO 14 FEBRERO,0,,,
5277,CAJA LUNARES CON CORAZON,5,,,
5278,CAJA TIPO FRACK,0,,,
5279,CAJA TIPO VESTIDO DE NOVIA,0,,,
5280,BOLSA FRANKY,0,,,
5281,CAJA I LOVE YOU,0,,,
5282,CUBO ROSAS C/E,0,,,
5283,CAJA EMPAQUE CORAZON CHICA,,,,
5284,CAJA EMPAQUE CORAZON MEDIANA,,,,
5285,CAJA EMPAQUE CORAZON GRANDE,,,,
5286,CUBO SURPRICE,0,,,
5287,CAJA MU�ECA RAYAS,0,,,
5287L,MU�ECA RAYAS  LOVE,0,,,
5288,CAJA HAPPY DAY,0,,,
5292,LONCHERA SIEMPRE TU,0,,,
5293,CAJA YOURS TIPO SOBRE,0,,,
5296,MU�ECA MINI LOVE,0,,,
5301,PASTELERA SUPER,0,,,
5302,PASTELERAGRANDE,0,,,
5303,PASTELERA MEDIANA,0,,,
5304,PASTELERA CHICA,0,,,
5305,PAY CHICA ALTA,,,,
5306,PASTELERA CHICA ALTA,0,,,
5307,CHAROLA DON BOSCO,0,,,
5308,CAJA TIPO MOKA,,,,
5309,PASTELERA ESPECIAL MINI,0,,,
5311,CAJA PARA PAPA GRANDE,25,,,
5312,CAJA PARA PAPA CHICA,35,,,
5313,CAJA PARA PAY (almohada),34,,,
5314,CAJA PARA HAMBURGUESA,,,,
5315,CHAROLA PARA REBANADA DE PIZZA,,,,
5316,CAJA PARA REBANADA DE PIZZA,5,,,
5317,CAJA PARA SANDWICH,30,,,
5318,CHAROLA PARA HOT DOG,,,,
5319,CONO PARA CREPA,,,,
5320,CAJA PARA 4 CUP CAKE CON TAMBOR,0,,,
5321,CAJA PARA 9 CUP CAKE CON TAMBOR,0,,,
5322,CAJA PARA 6 CUP CAKE C/TAMBOR,2,,,
5323,CAJA PARA 12 CUP CAKE C/TAMBOR,0,,,
5324,CUP CAKE PARA 1 PZA C/VENTANA ACETATO,0,,,
5325,CAJA PARA 2 CUP KAPE,0,,,
5400,CAJA PARA OSO MICRO KRAFT,,,,
5402,LONCHERA MEX BOX  KRAFT,,,,
5403,LONCHERA SUPER,5,,,
5404,LONCHERA GRANDE,63,,,
5405,LONCHERA MEDIANA,24,,,
5406,LONCHERA CHICA,11,,,
5407,LONCHERA GRANDE KRAFT IMPRESA,,,,
5408,LONCHERA CON VENTANA OVALADA C/ACETATO 16/X7.5X9,2,,,
5410,DULCERA GRANDE,0,,,
5411,DULCERA CHICA,0,,,
5412,DULCERA LUNARES CHICA,55,,,
5413,DULCERA POLLITO,0,,,
5414,DULCERA MEDIANA FELICIDADES,,,,
5417,DULCERA SULFATADA BLANCA SIN IMPRESI�N,,,,
5418,LONCHERA MEDIANA DIA DEL NI�O,0,,,
5472,CUBO NAVIDAD 21/21,,,,
5494,CAJA MU�ECA MINIATURA DE ACETATO,,,,
5495,CAJA BOLITO DE ACETATO,,,,
5496,HEXAGONO MINIATURA DE ACETATO,,,,
5497,ER 01 CAJA REGALO 14  PTS. CON TAPA DE ACETATO,,,,
5498,ER 03 CAJA REGALO 14  PTS. CON TAPA DE ACETATO,,,,
5499,ER 06 CAJA REGALO 14  PTS. CON TAPA DE ACETATO,,,,
5501,DISCO CHICO P/PASTEL,1,,,
5502,DISCO MEDIANO P/PASTEL,,,,
5503,DISCO GRANDE P/PASTEL,14,,,
5504,BASE ROSCA  MEDIANA 60x40,,,,
5505,BASE ROSCA CHICA 45x35,,,,
5506,BASE ROSCA GRANDE 65x45,,,,
5507,CAJA ROSCA GRANDE MICRO 67x45x8,0,,,
5508,CAJA ROSCA MEDIANA MICRO 58x46x6,0,,,
5509,CAJA ROSCA CHICA MICRO 37x34x6,0,,,
5510,CAJA ROSCA GRANDE MICRO 60x45x8,0,,,
5511,CAJA ROSCA MEDIANA MICRO 45x36x8,0,,,
5512,CAJA ROSCA CHICA MICRO 46x29.5 x 8,0,,,
5601,CAJA JUMBO MICRO,,,,
5602,CAJA VESTIDO DE NOVIA,,,,
5603,CAJA PARA RAMO DE NOVIA,,,,
5604,CAJA PARA RAMO XV A�OS,,,,
5605,CAJA PARA RAMO XV A�OS,,,,
5606,ARCHIALTA,62,,,
5607,ARCHIMINI,46,,,
5608,CUBO MICRO CAPLE BCO,55,,,
5609,CAJA GIS,33,,,
5610,CUBO CHICO MICRO BLANCO,7,,,
5611,CAJA VELA GRANDE MICRO,49,,,
5612,CAJA VELA CHICA MICRO,0,,,
5613,CUBO REHILETE,35,,,
5614,CAJA CREMA GDE.   MICRO KRAFT,73,,,
5615,CAJA CREMA CHICA MICRO KRAFT,100,,,
5619,CUBO KRAFT 20x20                                                        ,22,,,
5621,CUBO CONTRAENCOLADO,20,,,
5622,CUBO CONTRAENCOLADO,,,,
5623,CUBO KRAFT 30x30                                                       ,44,,,
5624,CUBO KRAFT 40x40                                                        ,40,,,
5625,CENTRO DE MESA MICRO KRAFT GRANDE,29,,,
5626,BOLSA MICRO KRAFT GRANDE,18,,,
5627,CUBO MICRO KRAFT,,,,
5628,CASITA MICRO KRAFT,0,,,
5629,VELA MINI MICRO BOND,0,,,
5630,CAJA DOBLE GIS,,,,
5631,BOLSA MICRO KRAFT CHICA,38,,,
5632,CENTRO DE MESA MICRO KRAFT CHICO,49,,,
5634,ORDENADOR DE CAJON CORTO,0,,,
5636,CENTRO DE MESA GRANDE ALTO MICRO KRAFT,,,,
5637,CAJA BOTELLA MICRO KRAFT,0,,,
5703,PARASOL No. 3,0,,,
5801,PIZZA 0 BOND,,,,
5802,PIZZA KRAFT 20X20,6,,,
5803,PIZZA 1 BOND,,,,
5804,PIZZA KRAFT 25X25,2,,,
5805,PIZZA 2 BOND,,,,
5806,PIZZA 2 KRAFT,,,,
5807,PIZZA 3 BOND,,,,
5808,PIZZA 3 KRAFT,,,,
5809,PIZZA 4 BOND,,,,
5810,PIZZA 4 KRAFT,,,,
5811,PIZZA 4A BOND,,,,
5812,PIZZA  KRAFT 38X38,4,,,
5813,PIZZA 5 BOND,,,,
5814,PIZZA 5 KRAFT,,,,
5815,PIZZA 5A BOND,,,,
5816,PIZZA 5A KRAFT,,,,
5818,PIZZA 30CM BOND,,,,
5819,PIZZA 30CM KRAFT,15,,,
5820,PIZZA 36CM BOND,15,,,
5821,PIZZA 36CM KRAFT,13,,,
5901,CAJA SINGLE No. 3,0,,,
