cod,desc,cant,,,
6012SF,MOÑO MAGICO CHICO SURTIDO FUERTE,0,,,
6013AC,MOÑO MAGICO GDE AZUL CIELO,0,,,
6013AM,MOÑO MAGICO GDE AMARILLO,0,,,
6013AR,MOÑO MAGICO GDE AZUL REY,0,,,
6013BCO,MOÑO MAGICO GDE BLANCO,0,,,
6013D,MOÑO MAGICO GDE DORADO,0,,,
6013ROJO,MOÑO MAGICO GDE ROJO,0,,,
6013ROSA,MOÑO MAGICO GDE ROSA,0,,,
6013V,MOÑO MAGICO GDE VERDE,0,,,
6013SC,MOÑO MAGICO GDE SURTIDO CLARO,0,,,
6013SF,MOÑO MAGICO GDE SURTIDO FUERTE,0,,,
6014,CINTA CELOFAN TRANSPARENTE ,15,,,
6015,CINTA DIUREX,15,,,
6017AR,PAPEL REGALO METALICO AZUL REY,0,,,
6017D,PAPEL REGALO METALICO DORADO,0,,,
6017P,PAPEL REGALO METALICO PLATA,0,,,
6017R,PAPEL REGALO METALICO ROJO,0,,,
6017V,PAPEL REGALO METALICO VERDE,0,,,
6019AR, PAPEL DE CHINA PICADO AZUL REY,0,,,
6019B,BOLSA PAPEL DE CHINA PICADO BLANCO,0,,,
6019R,BOLSA PAPEL DE CHINA PICADO ROJO,0,,,
6019V,BOLSA PAPEL DE CHINA PICADO VERDE BANDERA,0,,,
6019S,BOLSA PAPEL DE CHINA PICADO SURTIDO,0,,,
6020,MOÑO CHICO DECORADO,15,,,
6021,MOÑO MEDIANO DECORADO,15,,,
6022,CILINDRO CHICO  DE ACETATO,2,,,
6024,MOÑO GRANDE DECORADO,15,,,
6029H,PORTARETRATO SINGLE S/ DECORAR HORIZONTAL,10,,,
6029V,PORTARETRATO SINGLE S/ DECORAR VERTICAL,10,,,
6030H,PORTARETRATO SINGLE DECORADO T/O HORIZONTAL,0,,,
6030V,PORTARETRATO SINGLE DECORADO T/O VERTICAL,0,,,
6031,COFRE CORRUGADO GDE. DECORADO,2,,,
6032,COFRE MEDIANO SINGLE DECORADO,2,,,
6033,COFRE GRANDE DECORADO SINGLE ,2,,,
6037,BOLSA PAPEL KRAFT MINI-MINI ,20,,,
6043,BOLSA KRAFT NATURAL PARA BOTELLA C/OJILLO,20,,,
6047,CUBO CORRUGADO DECORADO,2,,,
6049,CORAZÓN  PINTADO CHICO,2,,,
6050,CORAZÓN  PINTADO MEDIANO,2,,,
6051,CORAZÓN  PINTADO GRANDE,2,,,
6081,CILINDRO DE ACETATO MEDIANO ,2,,,
6086,CILINDRO DE ACETATO JUMBO,2,,,
6087,CILINDRO DE ACETATO GRANDE,2,,,
6088,CILINDRO DE ACETATO P/CORONA,2,,,
6089,CILINDRO BOLO DE ACETATO,2,,,
6090,CILINDRO MINI CORRUGADO ,2,,,
6091,CILINDRO CHICO CORRUGADO ,2,,,
6092,CILINDRO MEDIANO CORRUGADO    ,2,,,
6093,CILINDRO GRANDE CORRUGADO ,2,,,
6094,CILINDRO JUMBO CORRUGADO ,2,,,
6095,CILINDRO PETIT MICRO ,2,,,
6096,CILINDRO DE ACETATO MINI ,2,,,
6097,CILINDRO JOYERO ACETATO,2,,,
6098,CILINDRO PETIT ACETATO,2,,,
6102,CILINDRO JOYERO MICRO,10,,,
6108,BOLO ACETATO TIRA PINTADA,0,,,
6110,CILINDRO DE ACETATO P/ TOCADO,2,,,
6118AM,CILINDRO JOYERO COLOR AMARILLO,0,,,
6118 AC,CILINDRO JOYERO COLOR AZUL CLARO,0,,,
6118AR,CILINDRO JOYERO COLOR AZUL REY,0,,,
6118B,CILINDRO JOYERO COLOR BLANCO,0,,,
6118M,CILINDRO JOYERO COLOR MORADO,0,,,
6118N,CILINDRO JOYERO COLOR NARANJA,0,,,
6118R,CILINDRO JOYERO COLOR ROJO,0,,,
6118RC,CILINDRO JOYERO COLOR ROSA CLARO,0,,,
6118RF,CILINDRO JOYERO COLOR ROSA FIUSHA,0,,,
6118VF,CILINDRO JOYERO COLOR VERDE FUERTE,0,,,
6118VL,CILINDRO JOYERO COLOR VERDE LIMON,0,,,
6119,CAJA SOMBRERO MED SINGLE ,2,,,
6120,CAJA SOMBRERO GRANDE SINGLE ,2,,,
6121,CAJA HEXAGONO CHICO CORRUGADO,2,,,
6122,CAJA HEXAGONO MED CORRUGADO,2,,,
6123,CAJA HEXAGONO GDE CORRUGADO,2,,,
6124,CAJA OVALO CHICO CORRUGADO,2,,,
6125,CAJA OVALO MED CORRUGADO,2,,,
6126,CAJA OVALO GDE CORRUGADO,2,,,
6127,ESTRELLA CHICA CORRUGADO ,2,,,
6128,ESTRELLA GRANDE CORRUGADO ,2,,,
6129,CAJA HEXAGONO CHICA DECORADO CORRUG,2,,,
6130,CAJA HEXAGONO MED DECORADO CORRUG,2,,,
6131,CAJA HEXAGONO GDE DECORADO CORRUG ,2,,,
6132,CAJA OVALO CHICO DECORADO CORRUGADO,2,,,
6133,CAJA OVALO MED DECORADO CORRUGADO,2,,,
6134,CAJA OVALO GDE DECORADO CORRUGADO,2,,,
6135,CASITA DECORADA ,0,,,
6136,ESTRELLA JUMBO CORRUGADO,2,,,
6137,CUBO CORRUGADO SIN DECORAR,2,,,
6138,COFRE JUMBO DECORADO CORRUGADO,2,,,
6139,CAJA MANZANA CHICA CORRUGADO,2,,,
6140,CAJA MANZANA GRANDE CORRUGADO,2,,,
6141,CILINDRO PETIT DECORADO CORRUGADO T/O ,0,,,
6142,CILINDRO MINI DECORADO CORRUGADO T/O ,0,,,
6143,CILINDRO CHICO DECORADO CORRUGADO T/O ,0,,,
6144,CILINDRO MEDIANO DECORADO CORRUGADO T/O ,0,,,
6145,CILINDRO GRANDE DECORADO CORRUGADO T/O ,0,,,
6146,CILINDRO JUMBO DECORADO CORRUGADO T/O ,0,,,
6147,CILINDRO DE ACETATO BOTELLA DECORADA,2,,,
6148,CILINDRO CORRUGADO BOTELLA DECORADA,2,,,
6149AM,CAJA CHOCOLATERA AMARILLO,0,,,
6149AC,CAJA CHOCOLATERA AZUL CLARO,0,,,
6149AR,CAJA CHOCOLATERA AZUL REY,0,,,
6149M,CAJA CHOCOLATERA MORADO,0,,,
6149N,CAJA CHOCOLATERA NARANJA,0,,,
6149R,CAJA CHOCOLATERA ROJO,0,,,
6149RC,CAJA CHOCOLATERA ROSA CLARO,0,,,
6149RF,CAJA CHOCOLATERA ROSA FIUSHA,0,,,
6149VF,CAJA CHOCOLATERA VERDE FUERTE,0,,,
6149VL,CAJA CHOCOLATERA VERDE LIMON,0,,,
6150,CILINDRO SORPRESA CORRUGADO DECORADO,2,,,
6151,CAJA DOMINO CORRUGADO,2,,,
6152,CAJA CARTA BARAJA CORRUGADO,2,,,
6153,CAJA DADO CHICO CORRUGADO,2,,,
6154,CAJA DADO GRANDE CORRUGADO,2,,,
6155,CAJA MARIPOSA GRANDE CORRUGADO DECORADO,2,,,
6156,CAJA MARIPOSA CHICA CORRUGADO DECORADO,2,,,
6157,CAJA FLOR GRANDE CORRUGADO DECORADO,2,,,
6158,CAJA FLOR CHICA CORRUGADO DECORADO,2,,,
6163,CORAZON GRANDE 15 CM DE ALTURA,0,,,
6165,CORAZON CORRUGADO CON VENTANA,4,,,
6166,CILINDRO GRANDE DE 15CM DE ALTURA 14 FEB,2,,,
6203,CONTENEDOR CHICO  DC 48 ECT,2,,,
6204,CONTENEDOR GRANDE DC 48 ECT,1,,,
6205,CAJA CUADRO CHICO 29 ECT,15,,,
6206,CAJA CUADRO GRANDE 29 ECT,15,,,
6207C,JUGUETERO CH IMPRESO CUADROS,2,,,
6207ÑA,JUGUETERO CH IMPRESO NIÑA,2,,,
6207ÑO,JUGUETERO CH IMPRESO NIÑO ,2,,,
6209,CASITA BLANCA CORRUGADA,2,,,
6210,AVION EN CORRUGADO KRAFT ,0,,,
6211,ESTUFA EN CORRUG KRAFT ,0,,,
6212,CARRITO EN CORRUG KRAFT ,2,,,
6213,COHETE EN CORRUG KRAFT ,2,,,
6214,JUEGO DE VINIL PARA ESTUFA ,0,,,
6215,JUEGO DE VINIL PARA CARRITO ,2,,,
6216,JUEGO DE VINIL PARA COHETE ,2,,,
6301,EXHIBIDOR DE CARTON 44 ECT,0,,,
6306,CUBO CORRUGADO DECORADO NAVIDEÑO,0,,,
6307,PINO CORRUGADO ENSAMBLABLE MEDIDA 54X61,0,,,
6308,PINO CORRUGADO CON ESTRELLA ENSAMBLABLE MEDIDA 45X68,0,,,
6309,CILINDRO BASTONES CHICO ,2,,,
6310,CENTRO DE MESA CHICO SINGLE RENO,2,,,
6311,CENTRO DE MESA GRANDE SINGLE RENO,2,,,
6312,CENTRO DE MESA CHICO PLANO SINGLE RENO,0,,,
6313,CENTRO DE MESA GRANDE PLANO SINGLE RENO,0,,,
6314,CAJA PINGÜINO CORRUGADO ,2,,,
6315,CAJA CAMPANA CORRUGADO,2,,,
6316,CAJA GALLETA JENGIBRE CORRUGADO,2,,,
6317,CAJA PINO CHICO MICRO NAVIDEÑA,2,,,
6318,CAJA CORRUGADO DECORADO NAVIDEÑO,2,,,
6319,CAJA PINO GRANDE DECORADO MICRO NAVIDEÑA,2,,,
6320,CAJA MONO DE NIEVE MICRO NAVIDEÑA,2,,,
6321,CAJA BOTA MICRO NAVIDEÑA,2,,,
6322,CAJA BASTON MICRO NAVIDEÑA,0,,,
6323,COFRE JUMBO CORRUGADO DECORADO NAVIDEÑO,2,,,
6324,CILINDRO DE ACETATO BOTELLA DECORADO NAV,2,,,
6325,CILINDRO CORRUGADO BOTELLA DECORADO NAV,2,,,
6326,CAJA CHOCOLATERA DECORADA NAVIDEÑA Y MOÑO,2,,,
6327,CILINDRO SORPRESA CORRUGADO DECORADO NAV,2,,,
6328,CILINDRO CORRUGADO CARA DE RENO NAV,2,,,
6329,CILINDRO CORRUGADO VELA NAVIDEÑA,2,,,
6330,CAJA HEXAGONO CHICA DEC NAVIDEÑA CORRUG,2,,,
6331,CAJA HEXAGONO MEDIANO DEC NAVIDEÑA CORRUG,2,,,
6332,CAJA HEXAGONO GRANDE DEC NAVIDEÑA CORRUG,2,,,
6333,CAJA OVALO CHICA DEC NAVIDEÑA CORRUG,2,,,
6334,CAJA OVALO MED DEC NAVIDEÑA CORRUG,2,,,
6335,CAJA OVALO GDE DEC NAVIDEÑA CORRUG,2,,,
6336,COFRE GRANDE DEC NAVIDEÑO SINGLE,2,,,
6350,CILINDRO MEDIANO PINTADO NAVIDEÑO SANTA CLAUS,2,,,
6351,CILINDRO GRANDE PINTADO NAVIDEÑO SANTA CLAUS,2,,,
6352,CILINDRO JUMBO PINTADO NAVIDEÑO SANTA CLAUS,2,,,
6353,CUBO COPOS 20X20 MICRO KRAFT,10,,,
6354,CUBO COPOS 30X30 MICRO KRAFT,10,,,
6355,CUBO COPOS 40X40 MICRO KRAFT,10,,,
6360,CASITA DEC NAVIDEÑA,2,,,
6375,ER-13 PINGÜINO ,25,,,
6376,ER-11 ESP HOJAS ,25,,,
6377,ER-06 HOJAS ,25,,,
6378,VIZCAINO JOY PEACE LOVE,25,,,
6379,ALMOHADA GRANDE PINO BLANCO,25,,,
6380,MALETIN MICRO KRAFT COPOS VENADO,25,,,
6381A,SOBRE YOURS ROMBO AZUL,25,,,
6381R,SOBRE YOURS ROMBO ROJO ,25,,,
6382A,ALMOHADA CON ASA ESTRELLA NAV AZUL,25,,,
6382R,ALMOHADA CON ASA ESTRELLA NAV ROJO,25,,,
6382V,ALMOHADA CON ASA ESTRELLA NAV VERDE,25,,,
6383D,LONCHERA MEDIANA COLLAGE NAV DORADO ,25,,,
6383P,LONCHERA MEDIANA COLLAGE NAV PLATA,25,,,
6383R,LONCHERA MEDIANA COLLAGE NAV ROJO ,25,,,
6384,CAJA KRAFT PINO BLANCO,25,,,
6385,COFRE MEDIANO DECORADO NAVIDEÑO SINGLE,2,,,
6386,COFRE GRANDE DECORADO NAVIDEÑO CORRUGADO,0,,,
6387H,PORTARETRATO DEC NAV HORIZONTAL SINGLE,0,,,
6387V,PORTARETRATO DEC NAV VERTICAL SINGLE,0,,,
6409,PAPEL DE CHINA IMPRESO NAVIDEÑO,0,,,
6413,BOLSA SATINADA MINI NAVIDEÑA,2,,,
6414,BOLSA SATINADA CHICA NAVIDEÑA,24,,,
6415,BOLSA SATINADA MEDIANA NAVIDEÑA,24,,,
6416,BOLSA SATINADA GRANDE NAVIDEÑA,24,,,
6417,BOLSA SATINADA EXTRAGRANDE(JUMBO) NAVIDEÑA,24,,,
6418,BOLSA SATINADA ALTA NAVIDEÑA,24,,,
6419,BOLSA SATINADA XXL NAVIDEÑA,24,,,
6420,BOLSA SATINADA BOUTIQUE CHICA NAVIDEÑA,24,,,
6421,BOLSA SATINADA BOUTIQUE MEDIANA NAVIDEÑA,24,,,
6422,BOLSA SATINADA BOTELLA NAVIDEÑA,24,,,
6425,PAPEL COUCHE NAVIDEÑO,24,,,
6426,PAPEL DISNEY NAVIDEÑO,50,,,
6429A,PAPEL HOLOGRAMA AZUL,50,,,
6429D,PAPEL HOLOGRAMA DORADO,0,,,
6429P,PAPEL HOLOGRAMA PLATA,0,,,
6429R,PAPEL HOLOGRAMA ROJO,0,,,
6429V,PAPEL HOLOGRAMA VERDE,0,,,
6430A,PAPEL GOFRADO AZUL,0,,,
6430D,PAPEL GOFRADO DORADO,0,,,
6430P,PAPEL GOFRADO PLATA,0,,,
6430R,PAPEL GOFRADO ROJO,0,,,
6430V,PAPEL GOFRADO VERDE,0,,,
6431NAV,CAJA VIZCAINO NAVIDAD WE WISH YOU,0,,,
D6431R,CAJA VIZCAINO ROJA NAVIDAD,0,,,
D6431V,CAJA VIZCAINO VERDE NAVIDAD,0,,,
6433,DULCERA CASITA NAVIDEÑA,25,,,
D6435,CUBO CONTRAENCOLADO 30X30 COPOS,10,,,
6438,MOÑO MINI METALICO,100,,,
6439,ER 11 ESPECIAL RENOS,25,,,
D6440A,ER 06 PINO DORADO AZUL,0,,,
D6440R,ER 06 PINO DORADO ROJA,0,,,
6440S,ER 06 SANTA STOP NAVIDEÑA,25,,,
D6440V,ER 06 PINO DORADO VERDE,0,,,
D6441A,ER 13 PINO DORADO AZUL,0,,,
D6441PR,ER 13 PINO ROJO NVA,0,,,
D6441PV,ER 13 PINO VERDE NVA,0,,,
D6441R,ER 13 PINO DORADO ROJO,0,,,
D6441V,ER 13 PINO DORADO VERDE,0,,,
6441VEN,ER 13 VENADO NAVIDAD,25,,,
D6441FR,ER 13 FELIZ NAVIDAD ROJA,0,,,
D6441FV,ER 13 FELIZ NAVIDAD VERDE,0,,,
6442,CAJA HAPPY DAY NAVIDAD,25,,,
6443,CAJA MULTIUSOS NAVIDAD,25,,,
6443J,CAJA MULTIUSOS JOY PEACE LOVE,25,,,
6443P,CAJA MULTIUSOS PEEKING CHRISTMAS,25,,,
6444P,LONCHERA MINI PLATA NAVIDAD,25,,,
6444R,LONCHERA MINI ROJO NAVIDAD,25,,,
D6444ROSA,LONCHERA MINI ROSA NAVIDAD,0,,,
6445D,LONCHERA MEDIANA DULCEY SANTA NAV,25,,,
D6445R,LONCHERA MEDIANA RENOS NAV,0,,,
6445S,LONCHERA MEDIANA CARAS NAV,25,,,
6448,DULCERA MEDIANA NAVIDEÑA,25,,,
6449B,DULCERA BOTA,25,,,
6449BASTON,DULCERA BASTON KRAFT,25,,,
6449BK,DULCERA BOTA KRAFT,25,,,
6449P,DULCERA PINO,25,,,
6449PK,DULCERA PINO KRAFT,25,,,
6430D,PAPEL GOFRADO DORADO,0,,,
6430P,PAPEL GOFRADO PLATA ,0,,,
6430R,PAPEL GOFRADO ROJO,0,,,
6430V,PAPEL GOFRADO VERDE,0,,,
6450,MOÑO MEDIANO DECORADO NAVIDEÑO,0,,,
6451,MOÑO GRANDE DECORADO NAVIDEÑO¨,0,,,
6452,ALMOHADA NAVIDEÑA HO HO HO,25,,,
6453,DULCERA PINGÜINO NAVIDEÑA,25,,,
6454,PELUCHERA MEDIANA MONOS DE NIEVE,25,,,
6455,PELUCHERA MEDIANA RENO NAVIDEÑA,25,,,
6456,CAJA TIPO VIZCAINO RENO,25,,,
6457,CAJA 13 OH CHRISMA TREE,25,,,
6458,CAJA TIPO BOLSA CON ASA NAVIDEÑA,25,,,
6459,CUBO ESFERAS,25,,,
6460A,CAJA TIPO ALMOHADA SANTA AZUL,25,,,
6460R,CAJA TIPO ALMOHADA SANTA ROJA,25,,,
6460MERRY,CAJA TIPO ALMOHADA MERRY,25,,,
6461,ALCANCIA RENO ,25,,,
6462,ALCANCIA SANTA,25,,,
6463,LONCHERA MEDIANA RENOS FELIZ NAVIDAD,25,,,
6464,CASITA KRAFT NAVIDEÑA,25,,,
6474,CUBO MERRY CHRISMAS,10,,,
6475,CUBO SURPRICE NAVIDEÑO,25,,,
6476,BOLSA EUROPA GRANDE NAVIDEÑA ,25,,,
6482,LONCHERA COPOS DE NIEVE,25,,,
6486,LONCHERA EXTRA MINI CARAS NAVIDEÑA,25,,,
6487,CAJA PALOMITAS NAVIDEÑA GRANDE,25,,,
6488,CAJA PALOMITAS NAVIDEÑA MEDIANA,25,,,
6489,CAJA PALOMITAS NAVIDEÑA CHICA,0,,,
6490AN,BOLSA EUROPA MEDIANA ARBOL NAVIDEÑO EN MEDIDA 31X12X36,0,,,
6490K,BOLSA EUROPA MEDIANA NAVIDEÑA KRAFT EN MEDIDA 31X12X36,0,,,
6491,BOLSA EUROPA NAVIDEÑA CHICA KRAFT,25,,,
6492,DULCERA NAVIDEÑA CUP CAKE,25,,,
6494,DULCERO RENO,25,,,
6495B,MUÑECA GRANDE NAVIDEÑA BUHO,25,,,
6495S,MUÑECA GRANDE NAVIDEÑA SANTA,25,,,
6496,DULCERA ESPECIAL ESFERAS Y RENO,25,,,
6497,LONCHERA ECO NAVIDEÑA,25,,,
6498,PELUCHERA GRANDE JENGIBRE,25,,,
6499,LONCHERA GRANDE RENO Y ESFERA ,25,,,
6501,BOLSA SATINADA MINI ,0,,,
6502,BOLSA SATINADA CHICA   ,0,,,
6503,BOLSA SATINADA MEDIANA ,0,,,
6504,BOLSA SATINADA GRANDE ,0,,,
6505,BOLSA SATINADA JUMBO ,0,,,
6520HA,BOLSA KRAFT COLOR HORIZONTAL MINI AZUL,10,,,
6520HR,BOLSA KRAFT COLOR HORIZONTAL MINI ROJO,10,,,
6520HV,BOLSA KRAFT COLOR HORIZONTAL MINI VERDE,10,,,
6520VA,BOLSA KRAFT COLOR VERTICAL MINI AZUL,10,,,
6520VR,BOLSA KRAFT COLOR VERTICAL MINI ROJO,5,,,
6520VV,BOLSA KRAFT COLOR VERTICAL MINI VERDE,10,,,
6521HA,BOLSA KRAFT COLOR HORIZONTAL CHICA AZUL,10,,,
6521HR,BOLSA KRAFT COLOR HORIZONTAL CHICA ROJO,10,,,
6521HV,BOLSA KRAFT COLOR HORIZONTAL CHICA VERDE,10,,,
6521VA,BOLSA KRAFT COLOR VERTICAL CHICA AZUL,10,,,
6521VR,BOLSA KRAFT COLOR VERTICAL CHICA ROJO,10,,,
6521VV,BOLSA KRAFT COLOR VERTICAL CHICA VERDE,10,,,
6522HA,BOLSA KRAFT COLOR HORIZONTAL MEDIANA AZUL,10,,,
6522HR,BOLSA KRAFT COLOR HORIZONTAL MEDIANA ROJO,10,,,
6522HV,BOLSA KRAFT COLOR HORIZONTAL MEDIANA VERDE,10,,,
6522VA,BOLSA KRAFT COLOR VERTICAL MEDIANA AZUL,10,,,
6522VR,BOLSA KRAFT COLOR VERTICAL MEDIANA ROJO,10,,,
6522VV,BOLSA KRAFT COLOR VERTICAL MEDIANA VERDE,10,,,
6523HA,BOLSA KRAFT COLOR HORIZONTAL GRANDE AZUL,10,,,
6523HR,BOLSA KRAFT COLOR HORIZONTAL GRANDE ROJO,10,,,
6523HV,BOLSA KRAFT COLOR HORIZONTAL GRANDE VERDE,10,,,
6523VA,BOLSA KRAFT COLOR VERTICAL GRANDE AZUL,10,,,
6523VR,BOLSA KRAFT COLOR VERTICAL GRANDE ROJO,10,,,
6523VV,BOLSA KRAFT COLOR VERTICAL GRANDE VERDE,10,,,
6524HA,BOLSA KRAFT COLOR HORIZONTAL JUMBO AZUL,10,,,
6524HR,BOLSA KRAFT COLOR HORIZONTAL JUMBO ROJO,10,,,
6524HV,BOLSA KRAFT COLOR HORIZONTAL JUMBO VERDE,10,,,
6524VA,BOLSA KRAFT COLOR VERTICAL JUMBO AZUL,0,,,
6524VR,BOLSA KRAFT COLOR VERTICAL JUMBO ROJO,10,,,
6524VV,BOLSA KRAFT COLOR VERTICAL JUMBO VERDE,10,,,
6525HN,BOLSA KRAFT NATURAL HORIZONTAL MINI,10,,,
6525VN,BOLSA KRAFT NATURAL VERTICAL MINI,10,,,
6526HN,BOLSA KRAFT NATURAL HORIZONTAL CHICA,10,,,
6526VN,BOLSA KRAFT NATURAL VERTICAL CHICA,10,,,
6527HN,BOLSA KRAFT NATURAL HORIZONTAL MEDIANA,10,,,
6527VN,BOLSA KRAFT NATURAL VERTICAL MEDIANA,10,,,
6528HN,BOLSA KRAFT NATURAL HORIZONTAL GRANDE,10,,,
6528VN,BOLSA KRAFT NATURAL VERTICAL GRANDE,10,,,
6529HN,BOLSA KRAFT NATURAL HORIZONTAL JUMBO,10,,,
6529VN,BOLSA KRAFT NATURAL VERTICAL JUMBO,10,,,
6530,BOLSA PARA BOTELLA  KRAFT PINTADA,10,,,
6531,BOLSA PARA BOTELLA  KRAFT NATURAL SIN OJILLO,10,,,
6580,PAPEL CHINA IMPRESO,50,,,
6594HB,BOLSA BOND MINI HORIZONTAL BLANCA ,0,,,
6594VB,BOLSA BOND MINI VERTICAL BLANCA ,10,,,
6595HB,BOLSA BOND CHICA HORIZONTAL BLANCA ,0,,,
6595VB,BOLSA BOND CHICA VERTICAL BLANCA ,0,,,
6596HB,BOLSA BOND MEDIANA HORIZONTAL BLANCA ,0,,,
6596VB,BOLSA BOND MEDIANA VERTICAL BLANCA ,10,,,
6597HB,BOLSA BOND GRANDE HORIZONTAL BLANCA,0,,,
6597VB,BOLSA BOND GRANDE VERTICAL BLANCA,10,,,
6598HB,BOLSA BOND JUMBO HORIZONTAL BLANCA,0,,,
6598VB,BOLSA BOND JUMBO VERTICAL BLANCA,10,,,
6613,BOLSA DE PAPEL ESTRASA No. 6,100,,,
6614,BOLSA DE PAPEL ESTRASA No. 10,100,,,
6615,BOLSA DE PAPEL ESTRASA No. 20,100,,,
6619,BOLSA DE PAPEL ESTRASA No. 5 ,0,,,
6620,BOLSA ESTRASA DESPENSA 30.5X18X41CM,100,,,
8001,MINIESTAND XD-2,2,,,
8002,RACK XR-1 (SIN INSERTOS),0,,,
8003,RACK XR-2 (SIN INSERTOS),2,,,
8004,RACK XR-3 (SIN INSERTOS),0,,,
8005,RACK XR-4 (SIN INSERTOS),0,,,
8006,RACK XR-5 (SIN INSERTOS),0,,,
8007,RACK XR-6 (SIN INSERTOS),0,,,
8008,CHAROLA EXHIBIDORA XM-1  (SIN INSERTOS),5,,,
8009,CHAROLA EXHIBIDORA XM-2 (SIN INSERTOS),5,,,
8010,CHAROLA EXHIBIDORA XM-3 (SIN INSERTOS),5,,,
8011,CHAROLA EXHIBIDORA XM-4  (SIN INSERTOS),5,,,
8012,"INSERTO XR-1 PLAFON. ESCALERA, DIVISORES, SOPORTE",0,,,
8013,"INSERTO XR-2 PLAFON. ESCALERA, DIVISORES, SOPORTE",0,,,
8014,"INSERTO XR-3 PLAFON. ESCALERA, DIVISORES, SOPORTE",0,,,
8015,"INSERTO XR-6 PLAFON. ESCALERA, DIVISORES, SOPORTE",0,,,
8016,"INSERTO XM-1 PLAFON. ESCALERA, DIVISORES",10,,,
8017,"INSERTO XM-2 PLAFON. ESCALERA, DIVISORES",10,,,
8018,"INSERTO XM-3 PLAFON. ESCALERA, DIVISORES",10,,,
8019,"INSERTO XM-4 PLAFON. ESCALERA, DIVISORES",10,,,
8020,JUEGO VINIL AUTOADHERIBLE PARA XD-2,0,,,
8021,JUEGO VINIL AUTOADHERIBLE PARA XR-1,0,,,
8022,JUEGO VINIL AUTOADHERIBLE PARA XR-2,0,,,
8023,JUEGO VINIL AUTOADHERIBLE PARA XR-3,0,,,
8024,JUEGO VINIL AUTOADHERIBLE PARA XR-4,0,,,
8025,JUEGO VINIL AUTOADHERIBLE PARA XR-5,0,,,
8026,JUEGO VINIL AUTOADHERIBLE PARA XR-6,0,,,
8027,JUEGO VINIL AUTOADHERIBLE PARA XM-1,0,,,
8028,JUEGO VINIL AUTOADHERIBLE PARA XM-2,0,,,
8029,JUEGO VINIL AUTOADHERIBLE PARA XM-3,0,,,
8030,JUEGO VINIL AUTOADHERIBLE PARA XM-4,0,,,
