cod,desc,cant,,,
2908,SOBRE MANILA T/OFICIO,25,,,
3103,ARCHIGAVETA OFICIO LARGO 44 ECT,3,,,
3203,ARCHIVA OFICIO CORR. BOND 44 ECT,15,,,
3204,ARCHIVA CARTA CORR. BOND  44 ECT,15,,,
3401,MALETIN MICRO BLANCO,10,,,
3402,MALETIN BLANCO CORRUGADO 44 ECT,10,,,
3404,SOBRE ECOLÓGICO CARTA 44 ECT,15,,,
3405,SOBRE ECOLÓGICO T/OFICIO 44 ECT,15,,,
3501,REVIARCHIVO GRANDE 29 ECT,15,,,
3502,REVIARCHIVO CHICO 26 ECT,15,,,
3503T,REVISTERO CHICO TURQUESA,10,,,
3503V,REVISTERO CHICO VINTAGE ,10,,,
3206,ARCHIVA GOB 1 44 ECT,10,,,
3601,ARCHIVA GOB 1 ECONOMICA 29 ECT,10,,,
3602,ARCHIVA GOB 2 44 ECT,10,,,
3701,TUBO PORTAPLANO ,5,,,
3702,TUBO PORTAPLANO ,5,,,
3703,TUBO PORTAPLANO ,5,,,
3704,TUBO PORTAPLANO ,5,,,
3705,TUBO PORTAPLANO ,5,,,
3801,TARJETERO GRANDE 44 ECT,15,,,
3802,TARJETERO MEDIANO 44 ECT,15,,,
3803,TARJETERO CHICO 44 ECT,15,,,
3912,CARPETA C/HERRAJE DE ARGOLLA 3/4 CARTA KRAFT,2,,,
3913,"CARPETA C/HERRAJE DE ARGOLLA 1"" CARTA KRAFT",0,,,
3914,"CARPETA C/HERRAJE DE ARGOLLA 2"" CARTA KRAFT",2,,,
3915,"CARPETA C/HERRAJE DE ARGOLLA 3"" CARTA KRAFT",2,,,
3916,FOLDER CARTA KRAFT ,25,,,
3917,FOLDER OFICIO KRAFT ,25,,,
3922,DISPENSER UNIPECOS KRAFT,0,,,
3924,LAPICERO CON DIVISIONES KRAFT,2,,,
3925,PORTATARJETAS KRAFT,2,,,
3926,SOBRE TIPO BOLSA CARTA KRAFT ,25,,,
3927,SOBRE TIPO BOLSA OFICIO KRAFT ,25,,,
3932,LIBRETA FORMA FRANCESA KRAFT,2,,,
3933,LIBRETA 1/4 DE CARTA KRAFT,2,,,
3935,PLUMA ECOLOGICA DE PAPEL RECICLADO KRAFT ,5,,,
3941,ARCHIVA CARTA ECOLOGICA 29 ECT,25,,,
3942,ARCHIVA OFICIO ECOLOGICA 29 ECT,0,,,
3943,REVIARCHIVO GRANDE ECOLOGICO 29 ECT,25,,,
3944,ARCHIVA GOB 1 ECOLOGICA,0,,,
3945,PORTARETRATO KRAFT,2,,,
3946,SOBRE TIPO BOLSA KRAFT 1/2 CARTA ,25,,,
4002,POLIPACK 1/8 X 105,105,,,
4004,BURBUJA DE AIRE CHICA 3/16 (120 mts),120,,,
4005,BURBUJA DE AIRE GDE 1/2 (60 mts),60,,,
4101,BOLSA DE BIOFILL,12,,,
4201,CARTÓN CORRUG KRAFT SINGLE FACE 2.00XMts,0,,,
4200,CARTON CORRUG KRAFT SINGLE FACE 2.00xKg,102,,,
4202,CARTON MICROCORRUGADO KRAFT SINGLE FACE,100,,,
4203,MICROCORRUGADO COLOR,0,,,
4207,LAMINA DE CORRUGADO 29 ECT,15,,,
4208,LAMINA DE CORRUGADO 29 ECT,15,,,
4209,LAMINA DOBLE CORRUGADO,0,,,
4211B,LAMINA MICRO BOND .80X1.60,0,,,
4211K,LAMINA MICRO KRAFT .80X1.60,10,,,
4212B,LÁMINA MICRO BOND 60X90,0,,,
4212K,LÁMINA MICRO KRAFT 60X90,10,,,
4213,LÁMINA CAPLE,0,,,
4214,LAMINA DE PLASTICO BLANCA MED.1.22X1.22,0,,,
4215,LAMINA DE PLASTICO NEGRA MED.1.40X1.22,0,,,
4217,SEPARADOR P/12 BOTELLAS 29 ECT,10,,,
4223,CARTÓN CORRUG KRAFT SINGLE FACE 1.60XMts,0,,,
4224,CARTON CORRUG KRAFT SINGLE FACE 1.60xKg,0,,,
4301,ROLLO PAPELKRAFT (PRECIO X KILO),30,,,
4302,ROLLO PAPELKRAFT(PRECIO X KILO),25,,,
4303,ROLLO PAPELKRAFT(PRECIO X KILO),30,,,
4304,ROLLO PAPELKRAFT(PRECIO X KILO),25,,,
4305,PAPELKRAFT 1.25 X METRO (180 MTS APROX),0,,,
4401C,CINTA PLASTICA CHICA 48X50 CANELA,6,,,
4401T,CINTA PLASTICA CHICA 48X50 TRANSPARENTE,6,,,
4402C,CINTA PLASTICA MEDIANA 48X100 CANELA,6,,,
4402T,CINTA PLASTICA MEDIANA 48X100 TRANSPARENTE,6,,,
4403C,CINTA PLASTICA GDE. 48X150 CANELA,6,,,
4403T,CINTA PLASTICA GDE. 48X150 TRANSPARENTE,6,,,
