cod,desc,cant,estante,nivel,costo_unitario
4918,cr 75 caja reg 32 ect 80x50x50,,,,
4919,cr 05 caja reg 26 ect 14x14x28,,,,
4920,cr 08 caja reg 26 ect 25x16x16,,,,
4921,cr 04 caja reg 26 ect 32x22x13,,,,
4922,cr cubo caja reg  29 ect 60x60x60,,,,
4923,cr 50 dc caja reg 42 ect 50x40x25,,,,
4924,cr 09 caja reg 26 ect 38x26.5x12,,,,
4925,cr 25 caja reg 26 ect 30x30x30,,,,
4925SG,cr 25 caja reg sg 30x30x30,,,,
4926,cr 35 caja reg 26 ect 45x45x45,,,,
4927,gobierno chico 26 ect 29x24x30,,,,
4928,gobierno grande 29 ect 36.5x26x29,,,,
4929,gobierno super 29 ect 46.5x36.5x40,,,,
4930,serfin 29 ect 60x30x30,,,,
4930SG,serfin sg 60x30x30,,,,
4931,pastelera kraft eco. 29 ect 30x30x14,,,,
4932,cr 63 caja reg 29ect 63x36x26,,,,
4934,cr 85 dc 42 ect 70x40x40,,,,
4935,gobierno chico navideña 26 ect 29x24x30,,,,
4936,cr-12 caja regular  29 ect 15x15x95,,,,
5003,cr 57 caja reg 23 ect 1.00x60x50,,,,
5020,caja para corona 29 ect 60x22x60,,,,
5021,caja para árbol de navidad 29 ect 35x35x1.50,,,,
5023,caja p/corona  29 ect 80x19x80,,,,
5101,er 00   caja regalo 14  pts. 14x9.5x2.5,,,,
5102,er 01   caja regalo 14  pts. 14.5x12.5x5,,,,
5103,er 02   caja regalo 14  pts. 17x12.5x5,,,,
5104,er 03   caja regalo 14  pts. 20x14x5,,,,
5105,er 04   caja regalo 14  pts. 13x13x10,,,,
5106,er 04e caja regalo 14 pts. 8x8x8,,,,
5108,er 05 caja regalo 14 pts. 22x16x5,,,,
5109,er 05v caja regalo c/ ventana 14 pts. 22x16x5,,,,
5110,er 06   caja regalo 14 pts. 25.5x20x6.5,,,,
5111,er 06 caja regalo  happy birthday 25.5x20x6.5,,,,
5112,er 6b   caja regalo bebe  14 pts. 25.5x20x6.5,,,,
5113,er 6v   caja regalo c/ventana 14 pts. 25.5x20x6.5,,,,
5114,er 06c   caja regalo color 14 pts. 25.5x20x6.5,,,,
5115,er 07   caja regalo 14 pts. 24x14x8,,,,
5116,er 08   caja regalo 14 pts. 28x20x3,,,,
5117,er 09   caja regalo 14 pts. 11x6.5x3,,,,
5118,er 09c caja regalo color 11x6.5x3,,,,
5119,er 10   caja regalo 14 pts. 23x15.5x12.5,,,,
5120,er 11   caja regalo 14 pts. 39.5x24.5x9,,,,
5121,er 11c caja regalo color 39.5x24.5x9,,,,
5122,er 11e  caja regalo 14 pts. 35x21x9,,,,
5123,er 12    caja regalo 14 pts. 11x8x2.5,,,,
5124,er 13    caja regalo 14 pts. 36x23x5.5,,,,
5125,er 13c caja regalo color 36x23x5.5,,,,
5126,er 14      caja regalo    26.5x10x7,,,,
5127,er 14v    caja regalo c/ventana   30x10x7,,,,
5128,er 15      caja regalo 14 pts. 45x29x8.5,,,,
5129,er 15c   caja regalo color 14 pts. 45x29x8.5,,,,
5130,er 16      caja regalo 14 pts. 12.5x8.5x4.5,,,,
