cod,desc,price,bu,line,class,type,sat_key,unit,color
3933,Libreta 1/4 de carta kraft ,22.74818,Diseños de Cartón,oficina,de línea,bolsa,44121700,Pieza,kraft
3935,Pluma ecologica de papel reciclado kraft  ,6.49948,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3941,Archiva carta ecologica 29 ect 31x10x26.5,12.99896,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3942,Archiva oficio ecologica 29 ect 35x10x26.5,14.6276,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3943,Reviarchivo grande ecologico 29 ect 26.5x12x26,14.95182,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3944,Archiva gob 1 ecologica ,10.39766,Diseños de Cartón,oficina,de línea,bolsa,24112500,Pieza,kraft
3945,Portaretrato kraft ,37.7,Diseños de Cartón,oficina,de línea,bolsa,24121500,Pieza,kraft
3946,Sobre tipo bolsa kraft 1/2 carta  14.5x22,1.29688,Diseños de Cartón,oficina,de línea,bolsa,24141500,Pieza,kraft
4002,Polipack 1/8 x105 1/8 x 105mts,7.79636,Diseños de Cartón,oficina,de línea,bolsa,24141500,Pieza,kraft
4004,Burbuja de aire chica 3/16 (120 mts) 1.22 x 120 mt,4.54662,Diseños de Cartón,oficina,de línea,bolsa,24141500,Pieza,kraft
4005,Burbuja de aire gde 1/2 (60 mts) 1.22 x 60 mt,9.425,Diseños de Cartón,oficina,de línea,bolsa,24141500,Pieza,kraft
4101,Mic pack(por bolsa) ,30.8763,Diseños de Cartón,oficina,de línea,bolsa,14121500,Pieza,kraft
4201,Rollo cartón corrugado 2.00 altura,22.42396,Diseños de Cartón,oficina,de línea,bolsa,14121500,Pieza,kraft
4202,Rollo-microkraft  100 mts. 1.00 altura ,7.14792,Diseños de Cartón,oficina,de línea,bolsa,14121500,Pieza,kraft
4203,Micro color  77x54,12.0263,Diseños de Cartón,oficina,de línea,bolsa,14121500,Pieza,kraft
